"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1128,0.153,0.104,0.198,0.33834105963526,0.20044531060885,0.18960167272190,0.308,0.314,0.260,0.165,0.307,0.182,0.109,0.510,0.207,0.317,,
1130,0.154,0.106,0.198,0.33421681169414,0.19711866203652,0.18680942631277,0.306,0.315,0.255,0.164,0.305,0.178,0.113,0.503,0.207,0.314,,
1132,0.154,0.108,0.197,0.33134488379687,0.19525523356122,0.18440223095827,0.305,0.315,0.249,0.160,0.304,0.177,0.115,0.499,0.207,0.306,,
1134,0.151,0.108,0.197,0.32670388064779,0.19333020031031,0.18261024669091,0.302,0.316,0.242,0.157,0.299,0.176,0.113,0.483,0.203,0.303,,
1136,0.150,0.107,0.197,0.31873665770614,0.19289031868075,0.18413436624887,0.284,0.309,0.232,0.154,0.299,0.174,0.112,0.475,0.198,0.296,,
1138,0.146,0.105,0.194,0.30915780348383,0.18918586330212,0.18471618216671,0.267,0.296,0.223,0.148,0.299,0.172,0.108,0.469,0.194,0.298,,
1140,0.142,0.104,0.195,0.30400487661918,0.18626547200363,0.18559154220377,0.259,0.293,0.220,0.147,0.297,0.170,0.106,0.458,0.188,0.297,,
1142,0.143,0.103,0.195,0.30032105774795,0.18542578627969,0.18606086838159,0.251,0.292,0.218,0.148,0.295,0.165,0.105,0.451,0.186,0.287,,
1144,0.142,0.102,0.196,0.29527566140429,0.18456769274326,0.18703378494557,0.239,0.287,0.214,0.145,0.291,0.164,0.103,0.454,0.186,0.287,,
1146,0.141,0.100,0.197,0.29294511567203,0.18476555164181,0.18844415820895,0.233,0.285,0.214,0.143,0.289,0.164,0.106,0.457,0.188,0.295,,
1148,0.141,0.100,0.202,0.28572479234458,0.18527917061637,0.18844325916559,0.232,0.282,0.214,0.143,0.296,0.164,0.106,0.460,0.193,0.296,,
1150,0.142,0.103,0.210,0.27898626113229,0.18368502251866,0.18889471055270,0.227,0.282,0.215,0.148,0.304,0.165,0.108,0.459,0.198,0.295,,
1152,0.147,0.109,0.220,0.27951515234535,0.18522726517162,0.19323055526337,0.226,0.277,0.215,0.149,0.305,0.163,0.115,0.462,0.207,0.299,,
1154,0.155,0.114,0.233,0.27847574441832,0.19151538268691,0.19503876801149,0.227,0.276,0.212,0.151,0.306,0.165,0.121,0.469,0.222,0.318,,
1156,0.162,0.117,0.247,0.27947854817980,0.19967745171458,0.19444701589680,0.225,0.276,0.210,0.156,0.312,0.168,0.123,0.468,0.235,0.333,,
1158,0.166,0.117,0.259,0.27810344188284,0.20157643280943,0.19505236705994,0.223,0.275,0.209,0.158,0.318,0.171,0.124,0.471,0.242,0.344,,
1160,0.166,0.118,0.262,0.28077080192497,0.20091137351364,0.19334713777775,0.216,0.268,0.208,0.157,0.319,0.171,0.128,0.472,0.240,0.354,,
1162,0.165,0.114,0.258,0.28095471972006,0.20145077644477,0.19103266618047,0.208,0.265,0.209,0.156,0.315,0.169,0.123,0.466,0.233,0.342,,
1164,0.160,0.109,0.249,0.27785781103341,0.20209509307541,0.19422903708700,0.205,0.266,0.209,0.153,0.311,0.165,0.117,0.466,0.225,0.320,,
1166,0.157,0.109,0.241,0.27924153738062,0.20362486964462,0.19333810084157,0.199,0.263,0.210,0.152,0.310,0.167,0.116,0.459,0.220,0.316,,
1168,0.155,0.111,0.229,0.27888007289859,0.20389074784646,0.18866521384151,0.195,0.258,0.208,0.151,0.299,0.169,0.115,0.444,0.209,0.308,,
1170,0.151,0.108,0.213,0.27574706126589,0.20203703524256,0.18387929635490,0.198,0.255,0.204,0.149,0.292,0.166,0.115,0.428,0.197,0.289,,
1172,0.147,0.103,0.201,0.27084696869910,0.19873655068620,0.18354298561954,0.201,0.255,0.201,0.143,0.288,0.162,0.113,0.418,0.186,0.286,,
1174,0.145,0.102,0.193,0.27055716843777,0.19955702443042,0.18440383407536,0.202,0.261,0.199,0.135,0.275,0.156,0.103,0.395,0.175,0.277,,
1176,0.145,0.099,0.190,0.25951398932053,0.19398375427882,0.17920480941369,0.197,0.262,0.199,0.132,0.265,0.148,0.101,0.372,0.166,0.265,,
1178,0.141,0.099,0.184,0.25661230257378,0.19332950875448,0.17268394480281,0.190,0.267,0.195,0.134,0.270,0.141,0.102,0.367,0.157,0.258,,
