"Wavenumber (cm-1)",FT,FT,FT,UV-FT,UV-FT,UV-FT,UV,UV,UV,H,H,H,C,C,C,"Reference AF Paint","Reference AF Paint","Reference AF Paint"
1123,0.17690834522372,0.20604028760014,0.10697021926486,0.34107215597832,0.34494224224458,0.34422160598005,0.51466574882876,0.33632213723690,0.32103682250817,0.16682024911907,0.23678247769421,0.08722135701185,0.16995991576035,0.18630247389647,0.12780498383156,0.317,,
1125,0.17657322429270,0.20013308347688,0.10570630691762,0.33402684369910,0.31714352737436,0.33934324071175,0.50978281155259,0.32511071280398,0.31096637315323,0.16295264315709,0.22968402896211,0.08905493834156,0.16640912465130,0.18611515129743,0.12829216392498,0.314,,
1127,0.17748152778321,0.19830830060855,0.10326965609310,0.32799576299736,0.31244694516307,0.33624975363488,0.50099690417591,0.31249383175499,0.30127029862050,0.16044874262105,0.22205155031565,0.09191003459165,0.16511311462502,0.18429544315056,0.12976901783929,0.306,,
1129,0.17819890294278,0.20176800293895,0.10197258925722,0.32050747269542,0.31261238200617,0.33385804370043,0.49153975104251,0.30417308840006,0.29381285013733,0.15912492236773,0.21108311268321,0.09525455927188,0.16382298666807,0.18689494689463,0.13095954015165,0.303,,
1131,0.17773284764711,0.20369654982745,0.10056877629624,0.31035684339765,0.30512576198875,0.32930724593255,0.48270642416913,0.29696494404164,0.28696761928104,0.15948621726205,0.20487503612937,0.09807754090052,0.16412909315698,0.18884962955668,0.13145408040125,0.296,,
1133,0.17380694127204,0.20633000155301,0.09837428620750,0.30394065440077,0.30429993671010,0.32934200824335,0.47577649613550,0.28746793848753,0.27933816858159,0.15934179821049,0.19734073414655,0.10304125440960,0.16611280485323,0.18658512677076,0.13419863220083,0.298,,
1135,0.17064975893179,0.20616164652997,0.09654433759867,0.29915036141551,0.29738414121578,0.32118281464747,0.46843409367933,0.28097593479355,0.27171692727667,0.15511428701208,0.18719089999210,0.10586225367379,0.16305413997719,0.18453743932018,0.13423479959680,0.297,,
1137,0.16709289689280,0.20439401853570,0.09309255356496,0.29583840409517,0.29543085210271,0.31883547184701,0.45933988363798,0.27517863115619,0.26766839176516,0.15238952584094,0.17594637707532,0.10790057359565,0.16085257024709,0.18540473438304,0.13275927123420,0.287,,
1139,0.16212908173302,0.20476607213040,0.09161824292055,0.29313368421120,0.29110953583518,0.31810265025183,0.45186744557320,0.26959715625552,0.26457993644384,0.15243091927918,0.16715577006318,0.11175863117724,0.16066924821760,0.18555588070049,0.13558911127595,0.287,,
1141,0.15827758706902,0.20304213960844,0.08898661247012,0.28993526174507,0.28572276321257,0.31469805142613,0.44366950321641,0.26616724558904,0.25962896986173,0.15176061381917,0.16031388872456,0.11121446829402,0.15878687661408,0.18465688265484,0.13729303756800,0.295,,
1143,0.15618807509529,0.20115940637921,0.08794103251535,0.28766523001904,0.28925454391544,0.31339709362371,0.43883310639705,0.26261040898395,0.25531584601795,0.14892924534643,0.15186449177870,0.11180173134612,0.15596379812708,0.18193022138843,0.13708280905067,0.296,,
