# SPCal Export 1.2.4
# Date,Mon Jun 24 22:13:16 2024
# File,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Nano\RawData\Guadalupe RawData\2024-05-28_Cu_AF_paint\4-10_2.csv
# Acquisition events,499999
#
# Options and inputs,Cu,
# Density,8.92,g/cm3
# Dwelltime,0.1,ms
# Efficiency,0.0041561106,
# Mass fraction,1,
# Molar mass,63.546,g/mol
# Response,2.412,counts/(μg/L)
# Time,49.9999,s
# Uptake,0.212,ml/min
#
# Limit method,Poisson (alpha=0.001)
#
# Detection results,Cu,
# Particle number,1753
# Number error,41.868843
# Number concentration,2.3874873e+09,#/L
# Mass concentration,0.21450778,μg/L
#
# Background,8.3228073,counts
#,10.275436,nm
# Background error,3.9424829,counts
# Ionic background,3.4505835,μg/L
#
# Mean,Cu,
#,147.57323,counts
#,8.984667e-11,μg
#,25.133981,nm
#,8.014323e-16,m³
# Median,Cu,
#,101.84182,counts
#,6.2004121e-11,μg
#,23.6784,nm
#,5.5307676e-16,m³
# Limits of detection,Cu,
#,19.141668,counts
#,1.1653978e-11,μg
#,13.563452,nm
#,1.0395348e-16,m³
#
# Peak composition,count,Cu,,error
# Raw detection data
Time,Cu,,Cu,,Cu,,Cu,,cluster idx,cluster idx,cluster idx
s,counts,μg,nm,m³,signal,mass,size
4.2115,43.566738,2.6524637e-11,17.841389,2.3659976e-16,1,1,1
4.2779,188.83368,1.1496718e-10,29.089536,1.0255072e-15,1,1,1
4.30445,110.27519,6.7138592e-11,24.314737,5.9887624e-16,1,1,1
4.3143,460.13513,2.8014302e-10,39.144622,2.4988757e-15,1,1,1
4.3378,72.133446,4.391684e-11,21.106807,3.9173821e-16,1,1,1
4.4071,169.70029,1.0331824e-10,28.071859,9.2159867e-16,1,1,1
4.4135,100.13351,6.0964053e-11,23.545258,5.4379935e-16,1,1,1
4.42065,66.991776,4.0786449e-11,20.592898,3.6381512e-16,1,1,1
4.45645,84.558472,5.148154e-11,22.25509,4.5921534e-16,1,1,1
4.4596,83.133453,5.061395e-11,22.129363,4.5147643e-16,1,1,1
4.4631,108.26685,6.591586e-11,24.166225,5.8796947e-16,1,1,1
4.4899,139.70026,8.5053386e-11,26.309305,7.5867621e-16,1,1,1
4.5051,121.70019,7.4094446e-11,25.127005,6.6092246e-16,1,1,1
4.62765,180.99208,1.1019299e-10,28.681168,9.829215e-16,1,1,1
4.6335,186.55035,1.1357702e-10,28.971813,1.0131071e-15,1,1,1
4.6493,264.83377,1.6123814e-10,32.561277,1.4382442e-15,1,1,1
4.6632,103.26688,6.2871735e-11,23.788332,5.6081588e-16,1,1,1
4.66865,224.54204,1.3670741e-10,30.81836,1.2194301e-15,1,1,1
4.79315,118.55852,7.218171e-11,24.908901,6.4386085e-16,1,1,1
4.89605,49.991749,3.0436362e-11,18.678547,2.7149235e-16,1,1,1
4.89995,42.708416,2.6002067e-11,17.723445,2.3193844e-16,1,1,1
4.93985,116.55852,7.0964055e-11,24.76804,6.3299937e-16,1,1,1
4.9505,251.70068,1.5324235e-10,32.01389,1.3669218e-15,1,1,1
4.96745,295.84225,1.8011696e-10,33.785502,1.6066433e-15,1,1,1
4.97425,140.12524,8.5312131e-11,26.335957,7.6098421e-16,1,1,1
5.0008,68.133438,4.1481525e-11,20.70922,3.700152e-16,1,1,1
5.0329,80.133453,4.8787466e-11,21.859905,4.351842e-16,1,1,1
5.0407,243.41733,1.4819921e-10,31.658777,1.321937e-15,1,1,1
5.05725,68.991783,4.2004109e-11,20.795822,3.7467665e-16,1,1,1
5.0707,150.41693,9.1577995e-11,26.965546,8.1687571e-16,1,1,1
5.1509,71.700127,4.3653024e-11,21.064458,3.8938497e-16,1,1,1
5.15695,36.425056,2.2176584e-11,16.807781,1.9781512e-16,1,1,1
5.2166,67.133438,4.0872697e-11,20.607403,3.6458446e-16,1,1,1
5.22985,152.99197,9.3145752e-11,27.118554,8.3086011e-16,1,1,1
5.2418,128.13358,7.8011271e-11,25.562184,6.9586053e-16,1,1,1
5.2962,158.41693,9.6448617e-11,27.435371,8.6032166e-16,1,1,1
5.36845,256.5589,1.5620017e-10,32.218551,1.3933055e-15,1,1,1
5.38515,76.558464,4.6610914e-11,21.529869,4.1576935e-16,1,1,1
5.41295,47.991745,2.9218704e-11,18.42606,2.6063084e-16,1,1,1
5.4624,59.133423,3.6002066e-11,19.753982,3.2113843e-16,1,1,1
5.49535,62.991764,3.8351131e-11,20.174598,3.4209209e-16,1,1,1
5.5063,83.133453,5.061395e-11,22.129363,4.5147643e-16,1,1,1
5.5699,92.133469,5.6093408e-11,22.900737,5.003532e-16,1,1,1
5.61825,140.99191,8.5839783e-11,26.390141,7.6569086e-16,1,1,1
5.63855,95.125168,5.7914838e-11,23.145974,5.1660035e-16,1,1,1
5.6735,389.13477,2.3691603e-10,37.017776,2.113291e-15,1,1,1
5.69195,69.991791,4.2612941e-11,20.895816,3.8010744e-16,1,1,1
5.74005,107.27518,6.53121e-11,24.092215,5.8258393e-16,1,1,1
5.7539,252.85068,1.539425e-10,32.062571,1.3731671e-15,1,1,1
5.7597,100.85017,6.140038e-11,23.601296,5.4769139e-16,1,1,1
5.875,119.85023,7.2968139e-11,24.999036,6.508758e-16,1,1,1
5.88085,64.991768,3.9568789e-11,20.385894,3.529536e-16,1,1,1
5.89715,87.125145,5.3044202e-11,22.478025,4.7315428e-16,1,1,1
