X value [cm⁻¹],IR Spectrum 1/O-PTIR (mV) [],out 1/O-PTIR (mV) [],out2/O-PTIR (mV) [],IR Spectrum 6/O-PTIR (mV) [],IR Spectrum 7/O-PTIR (mV) [],IR Spectrum 8/O-PTIR (mV) [],out4/O-PTIR (mV) [],out5/O-PTIR (mV) [],IR Spectrum 16/O-PTIR (mV) []
1389,92.3972778320313,201.947555541992,15.9020156860352,51.7158203125,21.3683757781982,14.7539663314819,86.4290771484375,110.983139038086,5.94367790222168
1391,96.867431640625,207.711990356445,16.5053939819336,52.9357833862305,21.9915657043457,16.5318336486816,86.900390625,111.914733886719,5.3088755607605
1393,98.5833740234375,210.54524230957,15.5028619766235,51.4228477478027,22.6838798522949,16.4411296844482,90.0010528564453,114.554237365723,6.5973072052002
1395,102.675186157227,219.636032104492,16.1226825714111,52.2026443481445,25.4879951477051,17.2162075042725,92.8304595947266,119.223342895508,7.72228860855103
1397,106.997688293457,229.846099853516,17.4204521179199,54.5824127197266,26.9446105957031,18.5282516479492,98.0597915649414,124.609588623047,7.45805740356445
1399,111.783386230469,241.121215820313,21.4633445739746,59.8427200317383,27.4487400054932,18.8000411987305,100.43391418457,135.509155273438,5.99434232711792
1401,118.700782775879,248.080902099609,26.0420265197754,66.7308044433594,29.2012004852295,21.9228630065918,96.9292602539063,140.548461914063,4.15143251419067
1403,124.129516601563,251.733901977539,25.1656360626221,68.9889297485352,30.5520896911621,22.7322864532471,103.461791992188,144.968338012695,4.32754802703857
1405,126.904655456543,255.953094482422,24.7160301208496,69.8148040771484,30.8892097473145,21.7155094146729,104.857246398926,150.623046875,4.90297412872314
1407,129.319580078125,259.034545898438,25.817699432373,73.7637023925781,31.4353542327881,22.1736068725586,103.938369750977,153.117431640625,4.88738203048706
1409,130.628280639648,261.150054931641,25.3162822723389,74.5853805541992,31.9042720794678,20.9440727233887,105.324905395508,153.557388305664,4.65920877456665
1411,130.641494750977,259.751922607422,25.0997867584229,69.2033615112305,32.0138626098633,20.4501724243164,105.81649017334,152.910781860352,4.87140512466431
1413,129.056930541992,258.279052734375,25.3910789489746,66.7580947875977,31.8764419555664,19.9072380065918,107.191596984863,151.748107910156,5.20863389968872
1415,123.25853729248,255.408248901367,24.2960624694824,60.9681358337402,32.8813438415527,19.4449520111084,106.488952636719,149.914016723633,5.75486183166504
1417,116.050567626953,252.437530517578,21.9163131713867,52.8729705810547,36.2558898925781,18.9166507720947,108.3671875,149.760696411133,7.38002729415894
1419,113.004554748535,249.669799804688,22.4081363677979,50.9417037963867,37.5568885803223,16.8222599029541,111.176712036133,148.19743347168,9.71364498138428
1421,113.478240966797,245.424011230469,22.5580005645752,46.1856918334961,35.8584861755371,16.4322147369385,108.287521362305,145.518142700195,8.62089252471924
1423,109.438247680664,245.613952636719,21.7115383148193,43.6578941345215,36.3762588500977,15.7470531463623,110.118492126465,143.373321533203,7.91334629058838
1425,106.672828674316,245.27734375,21.244571685791,44.2349967956543,35.5517501831055,14.4467868804932,108.850494384766,137.628219604492,7.65284776687622
1427,103.510765075684,246.176788330078,21.6352500915527,41.8197708129883,35.0244216918945,14.8056354522705,105.548675537109,135.995819091797,8.74503135681152
1429,99.1376190185547,251.213714599609,23.5915985107422,40.6107711791992,36.2138557434082,15.1894769668579,107.75952911377,134.790145874023,9.87804794311523
1431,97.4745864868164,253.994171142578,25.2304649353027,40.842472076416,36.2869720458984,15.2483940124512,109.326927185059,133.768890380859,10.6382093429565
1433,95.7741546630859,259.115783691406,28.8820056915283,42.2827606201172,35.8128318786621,16.1185741424561,108.614036560059,135.031143188477,11.4005241394043
1435,92.523796081543,262.048980712891,33.4054336547852,42.7144775390625,36.2781410217285,16.0649948120117,109.458061218262,135.578903198242,12.2330703735352
1437,91.5461959838867,264.307830810547,38.8135185241699,43.7416610717773,36.7281761169434,17.3767890930176,108.605865478516,137.072845458984,14.1566915512085
1439,93.2793121337891,266.991790771484,42.8339424133301,45.1287117004395,36.2578620910645,17.7636108398438,111.289566040039,137.952880859375,13.2954530715942
1441,96.3837356567383,265.394470214844,46.9195785522461,43.1436309814453,35.4397850036621,17.4159755706787,111.14835357666,138.720367431641,12.6908912658691
1443,96.1646194458008,263.060607910156,50.1453285217285,42.4502105712891,35.4678382873535,18.5945110321045,105.635467529297,139.793502807617,13.0159931182861
1445,93.3357925415039,259.387084960938,53.892650604248,41.3740425109863,36.1180610656738,18.8807468414307,106.571235656738,138.807067871094,13.1540670394897
1447,90.8318557739258,257.094512939453,57.8439674377441,39.7958793640137,35.3356704711914,18.9087715148926,110.144973754883,137.251647949219,14.1523427963257
